alcaldia,poblacion,pob_3ymas,p_12ymas,p_nacoe,P_vivoe,p_3ym_hli,p_3ym_hli_nhe,p_3ym_hli_he,p_afromex,p_12ym_solt,p_12ym_casada,p_12ym_sepa,p_catolica,p_crieva,p_otrasrel,p_sinrel,t_nacoe,t_vivoe,t_3ym_hli,t_3ym_hli_nhe,t_3ym_hli_he,t_afromex,t_12ym_solt,t_12ym_casada,t_12ym_sepa,t_catolica,t_crieva,t_otrasrel,t_sinrel
AZCAPOTZALCO,432205,420056,377144,79365,20545,3208,21,3159,8864,147260,171393,58399,335663,29623,2171,63846,18.362813942457862,4.75353131037355,0.7637076961167082,0.0049993334222103725,0.7520425847982174,2.0508786339815597,39.046093799715756,45.44497592431538,15.484536410495725,77.66291458914174,6.853923485383094,0.5023079325782904,14.772156731180806
COYOACAN,614447,599528,543990,110671,20232,7728,57,7630,11120,214160,247186,82270,463550,39559,2881,106925,18.011480241583083,3.2927168657345547,1.2890140243658346,0.009507479216984027,1.272667832027862,1.8097573916057854,39.368370742109235,45.43943822496737,15.123439769113403,75.44182004306312,6.438146821450832,0.46887689255541976,17.40182635768423
CUAJIMALPA DE MORELOS,217686,209540,181693,32842,7892,2046,6,1995,3053,67268,92967,21046,174811,10285,5082,26667,15.08686824141194,3.6254054004391647,0.9764245490121217,0.0028634150997422928,0.9520855206643123,1.4024787997390735,37.02289025994397,51.16707853357036,11.583275084895952,80.30419962698566,4.7246952031825655,2.3345552768666797,12.250213610429702
GUSTAVO A. MADERO,1173351,1137856,1007795,217362,39009,14196,109,13910,21697,385423,463694,158203,901136,90812,4796,174901,18.524891528621872,3.3245806242121922,1.24760953934417,0.00957941953990663,1.222474548624782,1.8491482940739812,38.24418656572021,46.01074623311289,15.697934599794602,76.80020726960646,7.7395425580239845,0.40874384561823357,14.906110788672782
IZTACALCO,404695,392990,350684,67280,15108,4412,37,4345,6941,134768,158916,56731,307375,32436,1938,62204,16.624865639555715,3.7331817788705077,1.122674877223339,0.00941499783709509,1.105626097356167,1.7151187931652232,38.430039579792634,45.3160109956542,16.177242189549563,75.95226034420983,8.014924819926117,0.4788791559075353,15.370587726559506
IZTAPALAPA,1835486,1777184,1550672,358708,42706,28716,305,28059,33313,576503,748864,224877,1384540,154092,6142,288659,19.542943939643234,2.3266862291512984,1.6158146821038226,0.017161982102022074,1.5788460845922538,1.8149416557794502,37.17762363672008,48.292869156082006,14.501906270313775,75.43179299651428,8.395160736720412,0.3346252709091761,15.726570510480602
LA MAGDALENA CONTRERAS,247622,240358,211148,36380,4421,2890,30,2833,5459,75481,103562,31647,199259,13065,1168,33374,14.691747906082659,1.7853825589002594,1.202373126752594,0.012481381938608243,1.1786585010692383,2.2045698685900286,35.74791141758388,49.04711387273382,14.988065243336427,80.46902133089951,5.276187091615446,0.4716866837356939,13.477800841605351
MILPA ALTA,152685,146847,124381,22536,2555,4891,31,4836,2231,41940,66737,15673,117841,10820,243,23565,14.759799587385794,1.6733798342993746,3.3306775078823536,0.021110407430863416,3.2932235592146926,1.4611782427874382,33.71897637098914,53.65530105080359,12.60079915742758,77.17915970789534,7.086485247404788,0.15915119363395225,15.433736123391295
ALVARO OBREGON,759137,737101,653085,123681,20301,8492,74,8322,16042,245501,312904,93468,608016,41833,2767,103417,16.292316143199447,2.6742208586855862,1.152080922424471,0.010039329752639055,1.1290175973170569,2.1131890554669313,37.59097207867276,47.911680715373954,14.311766462252235,80.09305303258833,5.510599536052122,0.3644928385785438,13.622969240071292
TLAHUAC,392313,378960,326890,67284,8946,4862,44,4798,7289,116646,165051,45138,297513,33237,923,60125,17.15059149199746,2.280322089759962,1.282985011610724,0.011610724086974878,1.2660966856660334,1.857955255115176,35.68356327816697,50.491296766496376,13.808314723607328,75.83562104747995,8.47206184857499,0.23527132672126594,15.325773043462746
