alcaldia,superficie_km2,vocacion_principal,poblacion,pob_3ymas,p_12ymas,p_nacoe,P_vivoe,p_3ym_hli,p_3ym_hli_nhe,p_3ym_hli_he,p_afromex,p_12ym_solt,p_12ym_casada,p_12ym_sepa,p_catolica,p_crieva,p_otrasrel,p_sinrel,t_nacoe,t_vivoe,t_3ym_hli,t_3ym_hli_nhe,t_3ym_hli_he,t_afromex,t_12ym_solt,t_12ym_casada,t_12ym_sepa,t_catolica,t_crieva,t_otrasrel,t_sinrel,consumo_total,total_reportes,consumo_per_capita,densidad_poblacional
ALVARO OBREGON,96.17,Habitacional/Comercial,759137.0,737101.0,653085.0,123681.0,20301.0,8492.0,74.0,8322.0,16042.0,245501.0,312904.0,93468.0,608016.0,41833.0,2767.0,103417.0,16.292316143199447,2.6742208586855862,1.152080922424471,0.010039329752639,1.1290175973170569,2.1131890554669317,37.59097207867276,47.911680715373954,14.311766462252235,80.09305303258833,5.510599536052122,0.3644928385785438,13.622969240071292,9608545.2,22385.0,12.6572,7893.6987
AZCAPOTZALCO,33.66,Industrial/Comercial,432205.0,420056.0,377144.0,79365.0,20545.0,3208.0,21.0,3159.0,8864.0,147260.0,171393.0,58399.0,335663.0,29623.0,2171.0,63846.0,18.362813942457866,4.75353131037355,0.7637076961167082,0.0049993334222103,0.7520425847982174,2.05087863398156,39.04609379971576,45.44497592431538,15.484536410495725,77.66291458914174,6.853923485383094,0.5023079325782904,14.772156731180806,8969567.32,13762.0,20.753,12840.3149
BENITO JUAREZ,26.63,Habitacional/Comercial,434153.0,424796.0,393387.0,88103.0,26615.0,3540.0,9.0,3517.0,12325.0,161564.0,176932.0,54507.0,305323.0,24493.0,4132.0,99203.0,20.293076403940542,6.130327327002232,0.8333411802371021,0.0021186640175519,0.8279268166366914,2.838860954548281,41.06998960311347,44.976575229989805,13.855821366745724,70.3261292677927,5.641559542373311,0.9517382121049492,22.849778764629058,13780118.64,29886.0,31.7402,16303.1543
COYOACAN,54.4,Habitacional/Comercial,614447.0,599528.0,543990.0,110671.0,20232.0,7728.0,57.0,7630.0,11120.0,214160.0,247186.0,82270.0,463550.0,39559.0,2881.0,106925.0,18.011480241583083,3.2927168657345547,1.2890140243658346,0.009507479216984,1.272667832027862,1.8097573916057852,39.36837074210924,45.43943822496737,15.123439769113403,75.44182004306312,6.438146821450832,0.4688768925554197,17.40182635768423,7687908.29,32869.0,12.5119,11294.9816
CUAJIMALPA,74.58,Habitacional/Corporativo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUAUHTEMOC,32.4,Comercial/Servicios,545884.0,531293.0,480461.0,110598.0,28254.0,9062.0,66.0,8921.0,14780.0,204264.0,203930.0,71473.0,378996.0,40236.0,5277.0,119709.0,20.26034835239721,5.175824900528317,1.705650177962066,0.012422523918064,1.6791111495916566,2.707534934161836,42.514168683826576,42.4446521153642,14.875921250632205,69.42793707087954,7.370796726044361,0.9666888936110968,21.929384264788855,18401765.79,17289.0,33.71,16848.2716
GUSTAVO A. MADERO,87.65,Habitacional/Industrial,1173351.0,1137856.0,1007795.0,217362.0,39009.0,14196.0,109.0,13910.0,21697.0,385423.0,463694.0,158203.0,901136.0,90812.0,4796.0,174901.0,18.524891528621872,3.324580624212192,1.24760953934417,0.0095794195399066,1.222474548624782,1.8491482940739807,38.24418656572021,46.01074623311289,15.697934599794602,76.80020726960646,7.739542558023984,0.4087438456182335,14.906110788672782,13480100.57,25265.0,11.4885,13386.777
IZTACALCO,23.3,Habitacional/Industrial,404695.0,392990.0,350684.0,67280.0,15108.0,4412.0,37.0,4345.0,6941.0,134768.0,158916.0,56731.0,307375.0,32436.0,1938.0,62204.0,16.624865639555715,3.733181778870508,1.122674877223339,0.009414997837095,1.105626097356167,1.7151187931652232,38.43003957979264,45.3160109956542,16.177242189549563,75.95226034420983,8.014924819926117,0.4788791559075353,15.370587726559506,6260630.651,10172.0,15.47,17368.8841
IZTAPALAPA,117.0,Habitacional/Industrial,1835486.0,1777184.0,1550672.0,358708.0,42706.0,28716.0,305.0,28059.0,33313.0,576503.0,748864.0,224877.0,1384540.0,154092.0,6142.0,288659.0,19.542943939643237,2.3266862291512984,1.6158146821038226,0.017161982102022,1.5788460845922538,1.8149416557794504,37.17762363672008,48.292869156082006,14.501906270313777,75.43179299651428,8.395160736720412,0.3346252709091761,15.726570510480602,8313477.95,20777.0,4.5293,15687.9145
MAGDALENA CONTRERAS,74.58,Habitacional/Reserva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
