alcaldia,colonia,superficie_km2_calculada,vocacion_principal,uso_suelo_num,consumo_total,consumo_total_dom,consumo_total_no_dom,bimestres_cubiertos,consumo_anualizado,pob,consumo_per_capita,consumo_per_capita_anualizado,densidad_poblacional,total_reportes,reportes_fuga,reportes_falta_agua,tiene_reportes_2019,idsm,e_idsm,latitud,longitud,cluster_perfil,consumo_esperado,exceso_consumo,es_anomalia,anomalia_score,diagnostico_final,poblacion_equivalente
CUAUHTEMOC,JUAREZ,1.4823661240472443,Comercial/Servicios,1,1046448.3,276014.12,667282.31,3.0,2092896.6,7860.0,133.13591603053436,266.2718,5302.333797631694,388.0,0.0,388.0,True,0.9161628484726,Alto,19.431001501,-99.1538469678,1,338158.7155245803,708289.5844754197,-1,-0.10976294193667113,CRÍTICO (Posible Fuga de Red),2121
MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC,3.1103772748247343,Habitacional/Comercial,1,838645.61,425581.32,394763.06,3.0,1677291.22,3385.5,247.71691330674935,495.4338,1088.4531684956992,609.0,0.0,609.0,True,0.0,Sin dato,19.4174384006,-99.2177935523,0,236042.64271286124,602602.9672871388,-1,-0.0543750509644918,CRÍTICO (Posible Fuga de Red),1804
MAGDALENA CONTRERAS,SAN JERONIMO ACULCO - LIDICE (PBLO),3.707138424457973,Habitacional/Reserva,0,715020.88,519966.83,174013.75,3.0,1430041.76,21559.0,33.16577206735006,66.3315,5815.536818847593,196.0,0.0,196.0,True,0.91503071784973,Alto,19.3208607085,-99.2375996183,3,209006.77685309347,506014.10314690653,-1,-0.14304859884408994,CRÍTICO (Posible Fuga de Red),1515
TLALPAN,TLALPAN CENTRO,1.7895868588256696,Habitacional/Reserva,0,432403.17,237325.91,161959.83,3.0,864806.34,7847.0,55.10426532432777,110.2085,4384.810919515367,181.0,0.0,181.0,True,0.88637560606003,Alto,19.2883785345,-99.1670183868,3,157540.7958658249,274862.3741341751,-1,-0.07206109794521032,CRÍTICO (Posible Fuga de Red),823
CUAUHTEMOC,CENTRO IV,1.2587934045539304,Comercial/Servicios,1,855370.09,110727.44,604580.05,3.0,1710740.18,6648.0,128.66577767749698,257.3316,5281.247880668555,44.0,0.0,44.0,True,0.75175565481186,Bajo,19.432541489,-99.1310777594,1,317898.76144682546,537471.3285531745,-1,-0.10754010188289231,SOSPECHOSO (Exceso Detectado por IA),1609
MIGUEL HIDALGO,CHAPULTEPEC POLANCO (POLANCO),0.6412565178534415,Habitacional/Comercial,1,627269.61,186787.39,393155.88,3.0,1254539.22,3039.0,206.40658440276405,412.8132,4739.133116608041,18.0,0.0,18.0,True,0.96545135974884,Muy alto,19.4298838999,-99.1925803553,1,326752.47276534204,300517.13723465794,-1,-0.0816564646020379,SOSPECHOSO (Exceso Detectado por IA),900
AZCAPOTZALCO,EL ROSARIO B (U HAB),0.3600582220634059,Industrial/Comercial,2,554755.23,457672.0,97083.28,3.0,1109510.46,10036.0,55.27652750099641,110.5531,27873.26989086968,16.0,0.0,16.0,True,0.84384691715241,Medio,19.5112673568,-99.2012849179,1,450575.8285113576,104179.40148864238,-1,-0.09366658809117678,SOSPECHOSO (Exceso Detectado por IA),312
ALVARO OBREGON,LOMAS DE SANTA FE II,2.48180045591349,Habitacional/Comercial,1,502583.64,78103.88,424479.78,3.0,1005167.28,3530.0,142.3749688385269,284.7499,1422.3544812351538,41.0,0.0,41.0,True,0.84482455253601,Medio,19.3673872989,-99.2625566882,1,319931.7116468102,182651.92835318984,-1,-0.0035975922895743473,SOSPECHOSO (Exceso Detectado por IA),547
ALVARO OBREGON,SAN ANGEL,1.0180550713983116,Habitacional/Comercial,1,374150.07,129126.25,226663.47,3.0,748300.14,1835.0,203.89649591280656,407.793,1802.456518859637,61.0,0.0,61.0,True,0.94150424003601,Muy alto,19.3503045783,-99.1911923557,1,327004.30845406465,47145.761545935355,-1,-0.053269333350399295,SOSPECHOSO (Exceso Detectado por IA),141
VENUSTIANO CARRANZA,MORELOS I,0.4491186049931854,Habitacional/Comercial,1,358026.57,320432.85,18566.63,3.0,716053.14,17875.0,20.02945846153846,40.0589,39800.17706073704,19.0,0.0,19.0,True,0.73569291830063,Bajo,19.4411186198,-99.1224095567,1,256387.07002648374,101639.49997351627,-1,-0.014137716003179701,SOSPECHOSO (Exceso Detectado por IA),304
